"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Your Order <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>"
Billing Info,Billing Info
Shipping Info,Shipping Info
Deliverydate Information,Deliverydate Information
"%name,","%name,"
Once your package ships we will send an email with a link to track your order.,Once your package ships we will send an email with a link to track your order.
Selected Delivery Date:,Selected Delivery Date:
edit,edit
Attention,Attention
Please Select A Timeslot,Please Select A Timeslot
Please Select Delivery Date,Please Select Delivery Date
Today,Today
Sun,Sun
Mon,Mon
Tue,Tue
Wed,Wed
Thu,Thu
Fri,Fri
Sat,Sat
Additional delivery charges are ,Additional delivery charges are 
AppJetty,AppJetty
Activation Key,Activation Key
Select Websites,Select Websites
Enabled,Enabled
Enabled at admin,Enabled at admin
Display selected delivery date on,Display selected delivery date on
Display at,Display at
Define same day delivery charges,Define same day delivery charges
Quota per day,Quota per day
Return quota per day when order is cancelled,Return quota per day when order is cancelled
Show delivery schedule in,Show delivery schedule in
Date picker animations,Date picker animations
Use datepicker bottom bar,Use datepicker bottom bar
Enable RTL(Right to Left) in datepicker,Enable RTL(Right to Left) in datepicker
Maximum Number of Days for Delivery Intervals,Maximum Number of Days for Delivery Intervals
Enable Cut Off time,Enable Cut Off time
Disable same day delivery after (Cut-off time),Disable same day delivery after (Cut-off time)
Make delivery date mandatory,Make delivery date mandatory
Label for delivery date,Label for delivery date
Label for delivery date comments,Label for delivery date comments
Enable call me before delivery,Enable call me before delivery
Label for call me before delivery,Label for call me before delivery
Show additional info,Show additional info
Additional info for customers,Additional info for customers
Delivery date for customer groups,Delivery date for customer groups
Customers groups,Customers groups
Delivery date for category's products,Delivery date for category's products
Product category,Product category
Date format,Date format
Time format,Time format
Minimum interval of days between the order and delivery date,Minimum interval of days between the order and delivery date
Do you want email notification ?,Do you want email notification ?
Email Notification Period,Email Notification Period
Email notification id,Email notification id
Day off,Day off
Single day off,Single day off
Period : From - To,Period : From - To
Label For time slot view table,Label For time slot view table
Add number of delivery days,Add number of delivery days
Minimum interval of hours between the order placing time and delivery time,Minimum interval of hours between the order placing time and delivery time
Add time slot,Add time slot
Disable time slot of day,Disable time slot of day
Disable time slot of particular date,Disable time slot of particular date
Create New Order,Create New Order
All Store Views,All Store Views
Purchase Point,Purchase Point
Cancel,Cancel
Hold,Hold
Unhold,Unhold
Print Invoices,Print Invoices
Print Packing Slips,Print Packing Slips
Print Credit Memos,Print Credit Memos
Print All,Print All
Print Shipping Labels,Print Shipping Labels
ID,ID
Purchase Date,Purchase Date
Grand Total (Base),Grand Total (Base)
Grand Total (Purchased),Grand Total (Purchased)
Shipping Information,Shipping Information
Customer Email,Customer Email
Customer Group,Customer Group
Shipping and Handling,Shipping and Handling
Customer Name,Customer Name
Total Refunded,Total Refunded
Call Before Delivery,Call Before Delivery
Delivery Charges,Delivery Charges
